model,device_name,dtype,attn_implementation,max_context_len,prefill_chunk_size,prefix_len,n,warmup,repeat,prefill_time_s,cache_seq_len,peak_memory_allocated_gb,peak_memory_reserved_gb,decode_seq_mode,t_decode_1_median_ms,t_decode_1_mean_ms,t_decode_1_p90_ms,t_verify_n_median_ms,t_verify_n_mean_ms,t_verify_n_p90_ms,t_decode_seq_n_median_ms,t_decode_seq_n_mean_ms,t_decode_seq_n_p90_ms,verify_vs_one_decode,verify_per_token_ms,amortized_vs_one_decode,speedup_over_seq,created_unix_time
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,65536,32,5,20,22.5899921875,65536,28.59438133239746,41.35546875,estimated_n_times_decode_1,55.78649711608887,55.81496315002441,55.83063163757324,247.2929229736328,247.329842376709,247.41580200195312,1785.1679077148438,1786.0788208007812,1786.5802124023437,4.432845504872421,7.727903842926025,0.13852642202726315,7.218839448572429,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,65536,64,5,20,22.5899921875,65536,28.59438133239746,41.35546875,estimated_n_times_decode_1,55.78649711608887,55.81496315002441,55.83063163757324,258.4975280761719,258.5475570678711,258.72157592773436,3570.3358154296875,3572.1576416015623,3573.1604248046874,4.633693482102876,4.0390238761901855,0.07240146065785744,13.81187604384987,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,65536,128,5,20,22.5899921875,65536,28.59438133239746,41.357421875,estimated_n_times_decode_1,55.78649711608887,55.81496315002441,55.83063163757324,262.0748748779297,262.09448699951173,262.19273376464844,7140.671630859375,7144.315283203125,7146.320849609375,4.697819157430967,2.0474599599838257,0.03670171216742943,27.24668526193282,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,65536,256,5,20,22.5899921875,65536,28.59438133239746,41.357421875,estimated_n_times_decode_1,55.78649711608887,55.81496315002441,55.83063163757324,323.3116149902344,323.39558563232424,323.6728820800781,14281.34326171875,14288.63056640625,14292.64169921875,5.795517404820011,1.262935996055603,0.022638739862578167,44.17206991511925,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,65536,512,5,20,22.5899921875,65536,28.59438133239746,42.365234375,estimated_n_times_decode_1,55.78649711608887,55.81496315002441,55.83063163757324,477.4876251220703,477.41194305419924,478.970166015625,28562.6865234375,28577.2611328125,28585.2833984375,8.55919711410528,0.9325930178165436,0.016717181863486873,59.8186948114842,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,98304,32,5,20,47.3369921875,98304,37.34242820739746,64.796875,estimated_n_times_decode_1,75.8205451965332,75.87491798400879,76.09948348999023,362.22515869140625,362.2774261474609,362.4671173095703,2426.2574462890625,2427.9973754882812,2435.1834716796875,4.7774011351736965,11.319536209106445,0.14929378547417801,6.69820245245882,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,98304,64,5,20,47.3369921875,98304,37.34242820739746,64.796875,estimated_n_times_decode_1,75.8205451965332,75.87491798400879,76.09948348999023,379.0412902832031,379.06688079833987,379.2229278564453,4852.514892578125,4855.9947509765625,4870.366943359375,4.9991897222671815,5.922520160675049,0.07811233941042471,12.802074647204101,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,98304,128,5,20,47.3369921875,98304,37.34242820739746,64.798828125,estimated_n_times_decode_1,75.8205451965332,75.87491798400879,76.09948348999023,383.0993957519531,383.1303680419922,383.2987731933594,9705.02978515625,9711.989501953125,9740.73388671875,5.0527122267312565,2.992964029312134,0.03947431427133794,25.332928980759874,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,98304,256,5,20,47.3369921875,98304,37.34242820739746,64.798828125,estimated_n_times_decode_1,75.8205451965332,75.87491798400879,76.09948348999023,464.8586120605469,464.88443145751955,465.457568359375,19410.0595703125,19423.97900390625,19481.4677734375,6.131037581642211,1.8158539533615112,0.023949365553289886,41.754759547800695,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,98304,512,5,20,47.3369921875,98304,37.34242820739746,66.306640625,estimated_n_times_decode_1,75.8205451965332,75.87491798400879,76.09948348999023,691.0397644042969,691.5422241210938,693.9280639648438,38820.119140625,38847.9580078125,38962.935546875,9.114149240328778,1.3496870398521423,0.017801072735017145,56.176389753908666,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,120000,32,5,20,68.818,120000,44.31117820739746,78.31640625,estimated_n_times_decode_1,89.31123352050781,89.33263397216797,89.3991943359375,437.6929168701172,437.7417709350586,437.9018218994141,2857.95947265625,2858.644287109375,2860.77421875,4.900759956132656,13.677903652191162,0.1531487486291455,6.529599549138541,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,120000,64,5,20,68.818,120000,44.31117820739746,78.31640625,estimated_n_times_decode_1,89.31123352050781,89.33263397216797,89.3991943359375,458.2998962402344,458.25910034179685,458.4036376953125,5715.9189453125,5717.28857421875,5721.5484375,5.13149217824876,7.160935878753662,0.08017956528513688,12.472005759120433,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,120000,128,5,20,68.818,120000,44.31117820739746,78.31640625,estimated_n_times_decode_1,89.31123352050781,89.33263397216797,89.3991943359375,463.0953063964844,463.12760467529296,463.21327209472656,11431.837890625,11434.5771484375,11443.096875,5.185185425640186,3.617932081222534,0.04050926113781395,24.685713140952245,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,120000,256,5,20,68.818,120000,44.31117820739746,78.31640625,estimated_n_times_decode_1,89.31123352050781,89.33263397216797,89.3991943359375,562.556396484375,562.52021484375,563.2404541015625,22863.67578125,22869.154296875,22886.19375,6.29883133743976,2.19748592376709,0.024604809911874064,40.64245989225907,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,120000,512,5,20,68.818,120000,44.31117820739746,78.31640625,estimated_n_times_decode_1,89.31123352050781,89.33263397216797,89.3991943359375,836.1989135742188,836.6312408447266,838.9554992675781,45727.3515625,45738.30859375,45772.3875,9.362751813098733,1.633201003074646,0.018286624634958462,54.68477753342759,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,130000,32,5,20,79.998484375,130000,48.44399070739746,78.31640625,estimated_n_times_decode_1,95.50848007202148,95.51354866027832,95.58742828369141,472.8089599609375,472.83138275146484,473.024624633789,3056.2713623046875,3056.433557128906,3058.797705078125,4.950439579861385,14.775279998779297,0.15470123687066828,6.464072429078311,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,130000,64,5,20,79.998484375,130000,48.44399070739746,78.31640625,estimated_n_times_decode_1,95.50848007202148,95.51354866027832,95.58742828369141,496.4208679199219,496.41538696289064,496.5340301513672,6112.542724609375,6112.867114257812,6117.59541015625,5.197662736812255,7.756576061248779,0.08121348026269148,12.313226779167945,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,130000,128,5,20,79.998484375,130000,48.44399070739746,78.31640625,estimated_n_times_decode_1,95.50848007202148,95.51354866027832,95.58742828369141,500.6474151611328,500.67742614746095,500.8343048095703,12225.08544921875,12225.734228515625,12235.1908203125,5.2419158464630815,3.91130793094635,0.040952467550492824,24.418553015567092,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,130000,256,5,20,79.998484375,130000,48.44399070739746,78.31640625,estimated_n_times_decode_1,95.50848007202148,95.51354866027832,95.58742828369141,604.8020629882812,604.7683013916015,605.1337219238281,24450.1708984375,24451.46845703125,24470.381640625,6.332443595921632,2.3625080585479736,0.024736107796568874,40.42673197513754,1780576000
meta-llama/Llama-3.1-8B-Instruct,NVIDIA A800 80GB PCIe,bf16,sdpa,131072,2048,130000,512,5,20,79.998484375,130000,48.44399070739746,78.31640625,estimated_n_times_decode_1,95.50848007202148,95.51354866027832,95.58742828369141,906.6311645507812,906.7300872802734,910.2218383789062,48900.341796875,48902.9369140625,48940.76328125,9.492677130523955,1.7707639932632446,0.0185403850205546,53.93631248171819,1780576000
